KO,Control_1,Control_2,Control_3,Control_4,Control_5,SO4_1,SO4_2,SO4_3,SO4_4,SO4_5,ASW_1,ASW_2,ASW_3,ASW_4,ASW_5,ASW_S_2,ASW_S_4,ASW_S_5,SourceSoil_1,SourceSoil_2,SourceSoil_3,SourceSoil_4,SourceSoil_5,Fxn
K00039,9,14,3,17,24,25,88,38,45,30,0,8,14,33,3,2,11,38,7,20,15,5,12,ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040,30,36,4,37,125,36,149,51,100,41,129,183,211,258,83,95,111,188,43,50,38,34,42,fructuronate reductase [EC:1.1.1.57]
K00041,15,22,12,30,47,27,57,10,17,14,4,10,4,47,42,28,5,13,37,21,49,26,24,tagaturonate reductase [EC:1.1.1.58]
K00042,1503,1243,1508,1597,1669,1692,3478,1896,2879,684,914,673,1309,958,1333,554,959,1176,1331,908,812,984,1183,2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043,3,2,4,9,3,4,12,11,5,3,7,6,3,0,0,0,0,0,28,9,17,18,30,4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045,119,182,47,202,291,208,284,92,232,189,167,186,220,430,67,91,154,206,47,83,118,37,121,mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046,961,1074,930,1142,1457,1205,2797,1384,2161,916,1289,1533,2124,1313,1107,981,1480,1245,805,651,610,512,672,gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048,2,0,6,0,10,0,3,3,11,4,0,17,23,0,69,4,20,5,0,0,0,6,5,lactaldehyde reductase [EC:1.1.1.77]
K00049,4,0,0,5,3,0,0,0,0,0,3,0,5,0,9,5,4,10,0,6,0,0,2,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00050,1100,922,1057,1284,1352,1250,2741,1401,2088,497,463,277,853,623,1234,392,573,994,1277,684,818,930,1003,hydroxypyruvate reductase [EC:1.1.1.81]
K00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052,2688,1956,2919,3022,3157,2848,6291,3180,4917,1566,1645,1406,2634,2266,2919,1332,1944,2599,2879,1927,2040,2106,2527,3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053,1610,1370,1731,1760,2054,1771,3694,1998,2918,1229,1252,1263,1882,1958,1921,1086,1506,1854,2000,1630,1635,1609,1759,ketol-acid reductoisomerase [EC:1.1.1.86]
K00054,195,95,529,323,199,109,433,378,241,81,77,60,371,46,357,332,219,657,281,148,202,183,202,hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055,178,226,53,157,312,203,437,203,264,236,296,385,335,379,172,163,246,227,123,144,135,108,130,aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057,1025,796,1053,1164,1561,1227,2637,1263,2055,760,821,799,1313,1439,1132,695,917,1182,1391,956,920,1042,1211,glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058,3132,2774,3310,3562,4311,3597,7649,3921,5708,2325,2371,2088,3804,3820,3812,2181,2769,4042,4730,3507,3364,3449,3945,D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]
K00059,10224,9799,8841,11512,15187,12359,27066,11931,21409,8545,9567,11331,15291,14042,10285,6983,11522,12780,11364,8852,8971,8367,9868,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060,1050,806,1178,1391,1159,1245,2463,1327,2007,560,654,393,1038,915,1294,582,768,1161,1121,764,733,874,1047,threonine 3-dehydrogenase [EC:1.1.1.103]
K00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064,195,289,65,185,425,262,485,197,407,300,320,260,426,441,145,219,361,355,163,244,193,146,174,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065,670,664,580,659,910,836,1853,796,1588,505,653,755,1048,813,763,468,725,988,821,547,570,605,713,2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125]
K00066,536,461,534,650,635,652,1349,661,1122,199,301,317,503,211,599,145,323,371,395,191,189,249,389,GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067,975,949,1210,1163,1186,1164,2619,1378,2290,494,561,469,990,1056,1241,612,697,1162,1044,747,782,793,972,dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068,41,38,64,71,43,71,169,98,182,17,17,15,130,55,147,42,66,61,28,9,13,12,7,sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069,8,11,7,0,22,17,32,15,24,0,4,0,10,3,22,0,14,42,6,4,9,4,18,15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sepiapterin reductase [EC:1.1.1.153]
K00073,51,54,38,42,57,55,105,38,62,64,38,7,28,101,22,6,48,70,95,92,90,68,66,ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074,2891,2240,3238,3378,3154,3242,7178,3483,5552,1816,1825,1644,2967,2965,2783,1547,2292,3148,3181,2361,2265,2198,2439,3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075,1125,931,1031,1231,1561,1181,2718,1305,2095,674,963,960,1384,1522,1286,710,1049,1168,1324,922,1013,1038,1246,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076,79,103,70,98,169,107,244,104,215,85,65,78,144,144,80,84,126,172,183,77,129,80,163,7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077,2679,2193,1865,2747,2962,3245,6286,2772,4752,1406,1617,1700,2472,2449,2326,1059,1645,2472,2516,1863,1783,1825,2266,2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079,0,0,2,7,2,4,6,5,0,4,4,11,18,7,3,2,0,2,3,13,6,3,3,carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,6,8,0,3,carbonyl reductase 2 [EC:1.1.1.184]
K00082,204,166,86,164,477,205,517,149,379,276,515,697,689,373,136,334,531,303,83,142,148,40,70,5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carbonyl reductase 3 [EC:1.1.1.184]
K00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086,25,17,22,11,24,11,90,40,66,53,107,164,102,77,18,51,111,52,12,25,41,6,3,"1,3-propanediol dehydrogenase [EC:1.1.1.202]"
K00087,947,774,960,1276,1232,1041,2097,1077,1679,488,820,413,1187,534,1373,734,840,647,1204,713,716,729,1050,xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088,2416,2085,2575,2815,3446,2829,5542,2770,4220,2236,3017,3085,3950,3678,3070,2177,3123,3576,2855,2386,2369,2155,2620,IMP dehydrogenase [EC:1.1.1.205]
K00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3alpha-hydroxysteroid dehydrogenase (A-specific) [EC:1.1.1.213]
K00090,15,21,43,35,51,42,92,69,104,4,27,21,76,61,57,21,40,130,62,40,15,48,28,gluconate 2-dehydrogenase [EC:1.1.1.215]
K00091,1403,1443,1205,1665,2028,1879,3969,1797,2792,1045,1122,1036,1746,1321,1503,902,1372,1501,1221,948,873,944,1112,dihydroflavonol-4-reductase [EC:1.1.1.219]
K00092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chlordecone reductase [EC:1.1.1.225]
K00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,methanol dehydrogenase [EC:1.1.1.244]
K00094,0,0,0,0,0,0,9,0,2,9,0,0,6,0,2,0,3,8,0,0,0,0,0,galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mannitol dehydrogenase [EC:1.1.1.255]
K00096,203,114,512,344,363,145,532,381,375,90,187,145,492,168,497,523,343,656,156,131,152,115,146,glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097,320,326,333,370,496,413,876,442,688,254,164,160,363,618,459,144,211,761,836,639,714,678,761,4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098,0,14,16,6,3,26,20,12,7,22,2,9,22,68,42,4,8,26,55,34,50,51,43,L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099,1337,1011,1300,1472,1659,1467,3298,1383,2441,1043,1138,1084,1733,1696,1596,756,1132,1446,1608,1177,1044,1194,1402,1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100,2011,1826,1551,2030,3230,2396,4988,2315,3702,1925,2335,2890,3472,3243,1835,1785,3007,3543,2357,2211,2316,1895,2194,
K00101,1269,1314,509,1223,1942,1458,3082,1349,2329,1241,1498,1706,1980,1804,699,800,1532,1599,1120,1101,1036,970,1014,L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102,602,538,451,667,957,639,1339,599,970,549,405,240,580,934,532,329,527,800,1035,898,863,787,858,D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103,46,36,38,36,138,53,194,77,125,73,95,146,109,154,51,89,131,84,63,74,63,36,33,L-gulonolactone oxidase [EC:1.1.3.8]
K00104,1978,1607,1829,2298,3063,2220,4701,2269,3607,1533,2068,2060,3046,2575,2216,1466,2273,2453,2123,1742,1689,1589,1919,glycolate oxidase [EC:1.1.3.15]
K00105,2,0,5,5,0,7,0,3,0,9,5,3,4,5,0,9,5,0,7,3,11,0,2,alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106,0,8,16,4,8,0,19,3,5,2,6,0,13,33,12,0,2,5,45,21,12,14,23,xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107,0,0,10,0,0,0,2,0,0,0,0,0,0,2,5,2,0,5,2,3,9,0,0,"D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]"
K00108,1920,1969,992,1923,3040,2277,4736,2074,3555,2218,2520,3551,3665,3508,1224,1614,2949,2964,2103,2085,2101,1750,1894,choline dehydrogenase [EC:1.1.99.1]
K00109,82,57,101,77,197,59,166,46,167,28,67,40,159,32,75,101,117,124,72,44,49,42,32,2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111,1530,1285,1391,1611,2521,1756,3823,1694,2955,1285,1926,2183,2715,2599,1526,1581,2085,2047,1848,1310,1314,1259,1335,glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112,63,28,45,35,78,48,148,46,99,95,128,338,118,146,26,128,211,115,27,47,52,19,14,glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113,125,118,168,171,217,161,321,122,247,163,209,353,261,334,178,150,267,232,276,193,242,194,230,glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114,4358,4956,2829,4895,5943,5411,10923,4532,7763,2487,2867,1519,3627,2524,5385,909,2877,2219,4578,3356,3167,3531,4004,alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,glucose dehydrogenase (acceptor) [EC:1.1.5.9]
K00116,140,204,14,115,211,207,307,86,185,133,132,121,257,186,71,47,215,83,2,63,36,13,21,malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117,1709,2040,1580,2214,2666,2595,5301,2131,3735,879,1623,705,2296,1938,3265,724,1143,1093,2618,1410,1302,1823,2051,quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118,152,183,99,181,180,175,385,160,272,107,55,27,120,85,136,49,43,78,326,185,205,239,305,glucose-fructose oxidoreductase [EC:1.1.99.28]
K00121,1310,1354,802,1208,2436,1553,2891,1307,2553,1838,2044,2793,2959,3055,1036,1708,2242,2454,1899,1502,1742,1321,1613,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122,818,749,514,819,1127,872,1806,692,1365,631,739,672,1012,755,654,411,790,1062,996,793,808,704,739,formate dehydrogenase [EC:1.2.1.2]
K00123,5667,5058,4295,6015,7291,6374,11867,5577,8806,4326,4320,3560,5881,6621,5291,2959,4417,4689,6083,5388,5052,4888,5851,formate dehydrogenase major subunit [EC:1.2.1.2]
K00124,2196,1945,2073,2528,2338,2697,5153,2593,4074,1156,1280,980,1941,1614,1841,610,1436,1423,1696,1293,1224,1268,1607,formate dehydrogenase iron-sulfur subunit
K00125,10,3,80,4,8,19,28,31,33,0,28,8,60,3,420,328,60,33,0,0,0,0,0,"formate dehydrogenase, beta subunit [EC:1.2.1.2]"
K00126,86,75,55,79,132,86,192,82,153,30,65,35,74,180,71,21,38,164,75,42,49,68,89,formate dehydrogenase subunit delta [EC:1.2.1.2]
K00127,781,755,726,878,880,934,1843,957,1530,343,326,177,511,627,708,228,375,750,665,576,518,501,639,formate dehydrogenase subunit gamma
K00128,4912,4392,4094,5208,6615,5686,12002,5282,8543,3888,4687,4719,6984,6264,4872,3029,5387,5682,5228,4096,3883,3894,4532,aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129,33,34,26,47,38,29,131,16,46,76,71,127,113,112,10,27,110,61,28,40,44,34,20,aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130,1898,1656,1802,2138,2721,1984,4521,2110,3257,2085,2175,2563,3450,3186,1542,2074,2730,3044,1651,1758,1670,1332,1494,betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131,372,315,402,520,381,433,984,452,676,216,161,112,288,323,355,98,218,210,330,220,244,297,292,glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132,198,144,301,237,162,276,452,278,309,82,118,70,164,89,282,65,95,177,143,78,101,103,135,acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133,2075,1721,2197,2486,2532,2378,5034,2608,3830,1311,1411,1203,2231,2101,2685,1321,1516,2190,2559,1666,1718,2006,2232,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134,1782,1534,1553,1866,2692,2120,3920,1995,3085,1508,1872,1813,2665,2776,2076,1265,2082,2196,2258,1688,1752,1655,1814,glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135,3331,2750,3230,3708,4365,3794,7942,4150,5924,2629,2917,3402,4313,4380,3230,2166,3529,3913,3050,2807,2686,2301,2635,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137,21,3,12,13,17,9,47,17,29,119,11,8,13,403,6,0,0,121,231,214,234,243,262,aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138,433,450,188,359,658,352,1025,377,694,657,752,1016,966,1128,370,491,990,693,363,444,431,270,219,aldehyde dehydrogenase [EC:1.2.1.-]
K00139,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140,1706,1414,1321,1713,2190,1905,3552,1917,2841,1540,1380,1559,2376,2270,1623,1211,1659,2029,1893,1625,1491,1433,1636,malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141,185,200,130,204,442,253,530,194,330,193,343,411,503,251,209,156,385,320,98,163,102,68,80,benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,acyl-CoA synthetase [EC:6.2.1.-]
K00143,0,0,3,0,0,0,4,0,0,3,0,0,9,0,0,0,2,0,2,3,2,2,3,L-aminoadipate-semialdehyde dehydrogenase [EC:1.2.1.31]
K00145,1344,1084,1164,1522,1792,1518,2849,1599,2375,807,1136,1011,1571,1506,1794,811,1045,1445,1528,1078,1046,1149,1428,N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146,1298,1224,824,1596,1584,1501,3026,1447,2445,981,1035,1044,1302,984,1311,452,1187,985,980,657,684,821,841,phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147,896,660,632,1073,1347,960,2163,960,1584,871,808,1021,1192,1445,809,553,931,1184,1377,878,1032,970,1196,glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148,116,97,100,130,357,161,289,98,214,203,178,215,294,414,229,103,140,146,110,136,116,72,96,glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150,136,41,453,233,117,144,370,299,251,52,76,40,256,43,505,628,192,613,231,136,118,132,156,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00151,204,164,118,179,385,251,426,168,363,385,511,658,531,637,251,257,531,388,144,210,206,137,90,5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,8,5,0,3,0,0,salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153,204,227,65,114,410,194,431,120,309,379,491,594,647,658,120,326,630,328,76,207,144,67,86,S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154,150,144,111,154,247,184,412,195,317,91,99,47,160,169,119,53,147,296,424,195,226,318,304,coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00156,825,936,153,755,1350,1026,1662,467,1130,1275,1102,1328,1708,2252,542,480,1067,793,1182,1175,1248,977,970,pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aldehyde oxidase [EC:1.2.3.1]
K00158,115,72,97,92,240,100,157,104,132,218,172,235,241,375,95,280,174,169,511,333,330,408,445,pyruvate oxidase [EC:1.2.3.3]
K00161,3841,3366,3660,4282,5432,4427,8984,4444,6995,3099,3752,3643,4613,4770,3559,2394,4049,4580,3969,3241,3103,3089,3385,pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162,3456,3154,2971,3643,5128,3784,7925,3981,6074,2754,3555,3708,4407,4256,3159,2308,3913,4346,3362,3083,2851,2512,2947,pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163,2910,2563,1919,2887,3557,3254,6386,2892,4657,2644,3291,3950,4249,3577,2624,1721,3182,2761,3406,2692,2520,2356,2678,pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164,2730,2307,2212,2991,3712,3270,6359,2959,4482,2446,2720,2860,3660,4092,2513,1807,2867,3037,3835,3103,2895,3051,3273,2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166,760,609,865,1032,842,939,1976,1071,1530,384,441,163,649,604,928,442,430,1105,890,521,562,690,800,2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
