KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	Fxn
K00118	418	360	276	197	244	356	133	179	150	206	134	162	580	498	505	430	435	318	6	113	463	600	427	264	glucose-fructose oxidoreductase [EC:1.1.99.28]
K00121	2180	2683	2204	1390	2263	1456	812	1195	903	856	891	746	1520	1536	2195	2225	1480	1430	7	405	1300	3464	1664	927	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	1311	1528	1423	755	1346	791	680	893	649	538	690	430	787	755	1182	1214	682	740	24	175	638	1721	803	508	formate dehydrogenase [EC:1.2.1.2]
K00123	6275	5233	4984	4762	4804	4893	5891	7587	7191	6999	7164	6049	5068	5641	6586	5888	4114	3691	113	6162	4604	8554	4722	3307	formate dehydrogenase major subunit [EC:1.2.1.2]
K00124	1180	895	920	902	969	1175	905	1231	1085	1052	969	767	698	671	839	1020	636	550	67	696	586	1432	770	456	formate dehydrogenase iron-sulfur subunit
K00125	65	8	17	65	16	40	244	319	430	316	310	262	54	54	73	93	73	36	12	70	102	148	143	55	"formate dehydrogenase, beta subunit [EC:1.2.1.2]"
K00126	131	77	62	29	69	72	18	49	28	21	22	50	33	44	91	52	46	32	1	11	37	96	57	39	formate dehydrogenase subunit delta [EC:1.2.1.2]
K00127	762	641	602	501	715	634	391	593	449	470	403	332	748	790	1075	1034	716	658	19	192	569	1316	789	453	formate dehydrogenase subunit gamma
K00128	7479	6703	6379	4813	6360	5669	3597	4846	4346	4630	3639	4557	8178	8322	9077	8858	6530	6005	79	6717	6346	12315	6503	4400	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	210	123	143	87	148	106	127	140	102	89	117	55	69	69	92	77	55	28	1	13	72	102	49	33	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	1660	1270	1235	840	1226	1125	376	619	423	501	491	533	916	1080	1062	988	750	579	14	268	798	1638	865	612	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	398	403	388	461	461	591	373	522	591	507	383	371	328	468	485	469	234	182	1	104	289	543	322	262	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	82	128	138	143	154	213	87	123	120	111	120	86	42	43	41	41	25	22	4	9	21	66	22	21	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	2773	2636	2376	2172	2496	2661	1866	2460	2440	2495	2370	2577	3206	3247	3453	3296	2348	1733	51	4381	2598	4498	2878	1914	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	4450	3573	3390	3044	3225	3790	3532	4159	4137	4133	3903	3347	5802	5922	6494	6176	4503	3746	73	5077	4725	8431	5368	3442	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	4794	4086	3872	2904	3744	3587	1991	2935	2588	2952	2393	2744	3696	3607	4644	3749	3132	2620	55	6892	3037	5863	3329	2155	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	103	80	81	72	113	144	36	62	48	47	43	36	44	43	71	45	38	15	0	14	55	55	58	25	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	333	254	190	166	205	233	283	361	345	242	267	197	1086	879	670	765	515	591	4	119	517	595	603	288	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	1	1	0	1	0	2	1	8	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	2321	2037	1937	1474	1798	1941	1332	1733	1386	1338	1435	1259	1029	1086	1332	1175	1046	909	16	1787	1067	2016	1102	726	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	57	105	90	94	111	75	11	21	14	19	16	28	22	29	14	20	32	22	5	6	13	36	22	9	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	3	7	2	2	2	1	3	4	1	3	3	4	1	0	0	2	1	0	0	0	1	3	2	1	acyl-CoA synthetase [EC:6.2.1.-]
K00143	14	34	32	24	37	20	9	7	4	3	12	6	2	0	1	0	1	0	1	0	4	2	2	2	L-aminoadipate-semialdehyde dehydrogenase [EC:1.2.1.31]
K00145	2363	2055	1906	1632	2060	2194	1545	2091	1926	1902	1804	1768	2649	2565	2727	2646	2013	1509	48	609	2061	3066	2256	1354	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	359	428	419	316	416	400	162	199	122	145	142	149	66	69	89	87	50	16	13	21	69	191	79	64	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	2559	2056	2105	1733	2203	2178	1781	2401	2315	2195	2079	1764	2280	2115	2624	2523	1850	1582	24	4563	2149	3790	2227	1590	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	133	94	91	64	84	75	17	27	29	39	19	71	63	29	244	49	106	186	6	578	108	195	61	60	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	0	0	0	0	1	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150	204	358	237	241	233	164	131	197	232	358	194	325	273	202	469	204	403	430	12	3524	431	619	215	171	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00151	384	475	380	230	300	280	92	158	95	77	104	74	62	68	74	82	69	17	2	12	84	191	63	73	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	1	7	3	3	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	379	254	213	131	184	128	103	122	97	81	107	88	126	147	251	225	116	131	1	45	129	463	124	106	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	545	355	369	238	278	263	441	533	371	348	358	224	550	476	365	641	369	192	1	94	265	406	377	199	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00156	369	435	365	462	615	641	22	128	59	155	66	415	167	146	255	196	177	147	3	74	240	392	301	156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	aldehyde oxidase [EC:1.2.3.1]
K00158	145	232	185	163	238	278	60	83	66	107	68	208	96	92	85	98	89	56	1	26	88	130	84	45	pyruvate oxidase [EC:1.2.3.3]
K00161	3288	3028	2759	2480	3221	3307	1854	2755	2490	3215	2119	3159	3661	3328	4553	3669	2859	2762	94	4730	3101	5614	2834	1927	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	3299	2923	2816	2612	3162	3369	1843	2793	2807	2972	2326	3163	3604	3430	4503	4074	3222	2714	88	3870	2891	5734	3060	2034	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163	4074	4047	3495	2719	3186	2902	2543	2792	2655	2465	2269	1812	2484	2469	2733	2466	1884	1549	22	632	2261	3327	2740	1429	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	5662	5031	4843	3744	4666	4204	2973	3691	3594	3540	3314	2945	4214	4370	4641	4831	3287	2697	86	982	3484	5814	3765	2482	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	689	739	639	464	583	521	463	475	385	278	366	242	238	207	254	335	189	114	0	50	162	309	180	113	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
K00167	867	780	733	596	668	643	419	530	449	398	411	270	189	287	211	302	144	109	15	58	148	256	181	112	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
