KO	Sandmound_TuleA_D1	Sandmound_TuleA_D2	Sandmound_TuleB_D1	Sandmound_TuleB_D2	Sandmound_TuleC_D1	Sandmound_TuleC_D2	Sandmound_ThreeSqA_D1_rd	Sandmound_ThreeSqA_D2	Sandmound_ThreeSqB_D1	Sandmound_ThreeSqB_D2	Sandmound_ThreeSqC_D1	Sandmound_ThreeSqC_D2	WestPond_TuleA_D2	WestPond_TuleB_D1	WestPond_TuleB_D2	WestPond_TuleC_D1	WestPond_TuleC_D2	WestPond_CattailA_D1	WestPond_CattailA_D2	WestPond_CattailB_D1	WestPond_CattailC_D2	WestPond_TuleA_D1	MayberryNE_TuleA_D1	MayberryNE_TuleA_D2	MayberryNE_TuleB_D1	MayberryNE_TuleB_D2	MayberryNE_TuleC_D1	MayberryNE_TuleC_D2	MayberryNE_CattailA_D1	MayberryNE_CattailA_D2	MayberryNE_CattailB_D1	MayberryNE_CattailB_D2	MayberryNE_CattailC_D1	MayberryNE_CattailC_D2	MayberrySE_CattailA_D1	MayberrySE_CattailA_D2	MayberrySE_CattailB_D1	MayberrySE_TuleA_D1	MayberryNW_TuleA_D1	MayberryNW_TuleA_D2	MayberryNW_TuleB_D1	MayberryNW_TuleB_D2	MayberryNW_TuleC_D1	MayberryNW_TuleC_D2	MayberryNW_CattailA_D1	MayberryNW_CattailA_D2	MayberryNW_CattailB_D1	MayberryNW_CattailB_D2	MayberryNW_CattailC_D1	MayberryNW_CattailC_D2	Browns_TuleA_D1	Browns_TuleA_D2	Browns_TuleB_D1	Browns_TuleB_D2	Browns_TuleC_D1	Browns_ThreeSqA_D1	Browns_ThreeSqA_D2	Browns_ThreeSqB_D1	Browns_ThreeSqB_D2	Browns_ThreeSqC_D1	Browns_ThreeSqC_D2	RushSE_TuleA_D1	RushSE_TuleA_D2	RushSE_TuleB_D1	RushSE_TuleB_D2	RushSE_TuleC_D1	RushSE_CattailNLA_D1	RushSE_CattailNLA_D2	RushSE_CattailNLB_D1	RushSE_CattailNLB_D2	RushSE_CattailNLC_D1	RushSE_CattailNLC_D2	RushMan_CattailNLA_D2	RushMan_CattailNLB_D2	RushMan_CattailNLC_D1	RushMan_CattailNLC_D2	RushMan_ThreeSqA_D1	RushMan_ThreeSqA_D2	RushMan_ThreeSqB_D1	RushMan_ThreeSqB_D2	RushMan_ThreeSqC_D2	RushOxbow_ThreeSqA_D1	RushOxbow_ThreeSqA_D2	RushOxbow_ThreeSqB_D1	RushOxbow_ThreeSqB_D2	RushOxbow_ThreeSqC_D1	RushOxbow_ThreeSqC_D2	Joice_CattailNLA_D1	Joice_CattailNLA_D2	Joice_CattailNLB_D1	Joice_CattailNLB_D2	Joice_CattailNLC_D1	Joice_CattailNLC_D2	Joice_ThreeSqA_D1	Joice_ThreeSqA_D1_rd	Joice_ThreeSqA_D2	Joice_ThreeSqA_D2_rd	Joice_ThreeSqB_D1	Joice_ThreeSqC_D1	Joice_ThreeSqC_D2	Goodyear_PhragA_D2	Goodyear_PhragC_D2	White_CordA_D2	White_CordB_D2	White_ThreeSqA_D1	White_ThreeSqA_D2	White_ThreeSqB_D1	White_ThreeSqB_D2	White_ThreeSqC_D1	White_ThreeSqC_D2	Tolay_CordA_D2	Tolay_CordB_D2	Tolay_CordC_D2	China_Galinas_CordA_D2	China_Galinas_CordB_D2	China_Galinas_CordC_D2	China_Galinas_PWA_D1	China_Galinas_PWA_D2	China_Galinas_PWB_D1	China_Galinas_PWB_D2	China_Galinas_PWC_D1	China_Bullhead_CordA_D2	China_Bullhead_CordB_D2	China_Bullhead_CordC_D2	China_Galinas_PWC_D2	Muzzi_CordA_D2	Muzzi_CordB_D2	Muzzi_CordC_D2	Muzzi_PWA_D1	Muzzi_PWB_D1	Muzzi_PWB_D2	Muzzi_PWC_D1	Muzzi_PWC_D2
K01547	13.601	13.309	13.641	13.352	13.559	13.254	13.382	13.142	13.089	13.035	12.997	13.183	13.459	13.654	13.619	13.578	13.375	13.579	13.345	13.653	13.451	13.677	12.67	13.122	12.616	13.025	12.714	13.27	12.834	13.134	12.842	13.0	13.101	12.943	13.082	13.204	13.157	12.884	13.276	13.014	13.043	13.04	13.11	12.994	13.349	12.969	13.311	13.032	12.913	12.943	12.707	12.875	12.732	12.726	12.725	12.641	12.879	12.574	12.998	12.764	12.729	11.344	10.907	11.239	11.269	11.75	11.087	10.837	11.141	10.733	11.05	11.399	11.855	12.41	11.365	11.636	11.876	11.516	11.37	11.919	11.632	12.007	11.465	11.724	11.623	11.65	11.188	12.106	11.55	12.115	11.826	11.826	11.708	11.819	12.274	11.913	12.254	11.651	11.905	11.93	12.045	11.836	6.4809	7.178	7.3006	7.2241	6.8815	8.4928	8.5963	7.9982	7.4052	8.1402	8.2947	6.6716	8.7488	6.6659	6.6316	8.078	8.0841	8.4692	8.3582	7.3195	7.0006	6.7581	8.0116	7.0083	6.7428	7.2683	6.5239	6.727	6.8312	7.3377	7.7609
K01548	11.808	11.629	11.711	11.748	11.76	11.582	11.479	11.506	11.477	11.531	11.382	11.617	11.742	11.747	11.91	11.672	11.706	11.759	11.633	11.686	11.765	11.741	10.644	11.119	10.433	11.028	10.669	11.152	10.672	11.136	10.75	10.874	11.105	10.694	11.062	11.07	10.996	10.824	11.196	11.273	11.295	11.29	11.076	11.259	11.302	11.307	11.204	11.295	11.304	11.213	10.869	11.239	10.658	10.933	10.832	11.032	11.299	10.835	11.305	11.166	11.085	9.355	9.0838	9.0628	9.3794	9.7011	8.7239	9.1662	8.8624	9.0405	9.058	9.5805	10.172	10.627	9.2678	9.9014	9.8199	9.627	9.2822	10.096	9.8	9.9403	9.7071	9.6352	9.8771	9.5839	9.4473	9.9562	9.85	9.9909	10.012	9.8031	9.9541	10.128	10.031	10.077	10.14	9.9244	10.114	10.085	10.38	10.049	5.0728	5.3226	5.5831	4.9157	4.8046	6.5845	6.9801	6.1589	5.5332	6.6929	6.7182	4.4735	6.7401	4.6488	5.2472	5.7913	5.8968	6.597	6.0704	5.2387	4.3633	5.0	6.341	5.4303	4.7302	4.8728	4.7023	3.5123	4.5972	5.3426	6.0153
K01555	10.176	10.245	10.373	10.168	10.422	10.215	10.566	10.371	10.5	10.579	10.569	10.397	9.4956	9.8687	8.961	10.102	9.8078	10.342	9.5446	10.275	9.2615	10.26	9.2923	10.124	9.0516	9.6981	9.3126	9.691	10.546	10.697	10.49	10.598	10.568	10.584	9.9727	10.406	10.339	10.761	10.05	10.508	10.085	10.542	10.318	10.413	10.173	10.282	10.198	10.363	10.282	10.654	10.517	10.201	10.446	10.249	10.442	10.419	10.04	10.325	10.136	10.277	10.165	10.187	9.8395	10.27	9.7741	10.14	10.417	9.7169	10.278	9.5862	10.253	9.7954	9.0888	9.7282	10.274	9.2619	10.345	10.098	10.397	9.9044	9.9768	10.071	10.294	10.683	10.154	10.623	10.442	10.185	9.5293	10.217	9.7693	10.141	9.8253	10.218	10.073	10.011	9.9776	10.276	9.8655	9.7079	10.15	9.9254	9.5591	9.6758	9.9588	10.138	10.011	9.2973	9.452	9.5283	9.6531	9.6947	9.535	9.9241	9.514	9.7941	9.1772	9.5162	9.425	9.1322	9.1389	9.1235	9.17	9.1792	9.3377	9.4167	10.371	9.4045	9.3799	10.64	9.8803	9.2421	9.2514
K01556	10.673	10.726	10.576	10.578	10.785	10.722	10.986	10.89	11.061	10.973	11.105	10.762	9.7734	9.9871	9.1167	10.549	10.045	10.655	9.8631	10.806	9.3921	10.369	9.7875	10.351	9.7653	10.26	10.178	10.335	11.095	11.089	10.924	10.988	11.034	10.768	10.419	11.08	10.956	11.324	10.476	10.724	10.318	10.805	10.652	10.818	10.353	10.818	10.5	10.805	10.595	10.922	10.864	10.675	11.131	10.846	10.957	10.888	10.5	10.905	10.469	10.855	10.657	11.011	10.892	11.172	10.916	10.914	11.081	10.779	11.073	10.759	11.115	10.544	9.7303	9.8591	11.051	9.9946	10.854	10.691	10.969	10.566	10.673	10.181	10.766	11.081	10.747	11.05	10.687	10.62	9.7087	10.902	10.22	10.786	10.313	10.675	10.678	10.38	10.256	10.889	10.157	10.046	10.48	10.465	11.049	10.906	11.017	11.16	11.176	10.472	10.527	10.596	11.422	11.045	11.302	11.094	10.678	10.755	10.877	10.209	10.432	10.111	10.336	11.066	11.297	11.286	10.412	10.355	11.227	10.546	10.342	11.439	10.858	10.606	10.475
K01557	7.3094	7.1481	7.3335	7.2284	7.4094	7.1131	7.3865	7.4475	7.3943	6.9129	7.5385	6.9289	6.6174	6.8943	5.6813	7.22	6.7784	7.5445	6.5954	7.1448	6.4463	6.9336	6.5144	6.8384	6.0966	6.3195	6.5719	6.7624	7.2371	7.5019	7.3388	7.3725	7.0081	7.354	7.4523	7.5712	7.959	7.1584	6.7413	7.048	6.406	7.0306	7.3333	6.8831	7.133	7.337	6.7043	6.9522	6.9751	7.2952	7.2471	6.7884	7.4641	7.2015	7.3489	7.2589	7.14	7.3123	7.0039	7.1423	7.1738	7.7463	7.2507	7.8223	7.2352	7.5037	7.8428	7.5034	7.5501	7.3681	7.4068	7.1512	6.7373	6.5652	7.5049	6.3617	7.923	7.4309	7.6804	7.118	7.01	7.4564	7.441	7.8729	7.4256	7.9907	7.7466	7.4048	6.899	7.6704	7.2189	7.3827	7.2286	7.6419	7.467	7.2479	7.4767	7.5623	7.0647	7.1725	6.9009	6.8692	6.5646	6.9956	7.432	7.3831	7.1965	6.707	7.006	7.3914	7.3291	7.177	7.0636	6.5637	6.9278	5.9995	6.8353	7.23	6.6695	6.2912	6.972	6.6026	7.0814	7.0582	7.1503	7.2224	7.354	6.8691	7.1517	6.5301	7.3234	7.0643	7.4171
K01560	10.795	10.881	10.804	10.798	10.899	10.874	11.027	11.202	11.084	11.081	10.922	10.789	9.6535	9.9746	8.8305	10.099	9.9768	10.477	9.8957	10.294	9.4532	9.963	8.9852	10.436	9.2657	9.969	9.567	10.549	10.963	11.186	10.906	11.134	11.138	11.06	10.734	11.072	11.084	11.106	10.64	10.908	10.673	10.926	10.84	11.003	10.324	10.962	10.718	10.96	10.757	11.237	11.141	11.092	11.13	11.208	10.887	11.046	10.978	11.041	11.01	11.111	11.062	10.426	10.395	10.336	10.238	10.461	10.267	10.339	10.098	10.046	10.333	10.254	9.6639	10.495	9.9946	9.5321	10.794	10.698	10.558	10.553	10.497	10.879	10.823	10.801	11.18	10.896	11.105	10.488	10.29	10.57	10.362	10.342	10.551	10.609	10.497	10.49	10.497	10.343	10.272	10.325	10.712	10.67	10.3	10.346	10.518	10.612	10.533	10.428	10.31	10.475	10.541	10.518	10.528	10.574	10.677	9.9318	10.14	10.75	10.428	10.289	10.616	10.254	10.383	10.519	10.521	10.828	11.045	10.774	10.689	10.808	10.985	10.835	10.894
K01561	10.168	10.1	10.234	9.9343	10.276	10.031	10.306	10.397	10.346	10.296	10.238	10.168	9.1133	9.5031	7.847	9.4627	9.1555	9.7624	9.2773	9.5483	8.5806	9.254	8.2662	9.3717	7.9728	8.592	8.4031	9.4542	9.6831	10.187	9.6938	10.092	9.908	10.1	9.8935	10.097	10.268	9.6324	9.4308	9.923	9.2984	9.8644	9.8387	9.9225	9.5081	9.7284	9.6523	9.9157	9.6749	10.059	10.092	9.9266	10.036	9.8514	9.9595	10.021	9.8148	10.059	9.6477	9.8841	9.6597	9.5205	9.3706	9.3095	9.2261	9.4117	9.4264	9.2137	9.0083	8.9949	9.4353	9.3849	7.5763	8.2802	8.9914	7.7886	9.7232	9.6165	9.7343	9.4901	9.5335	9.9638	9.6879	9.88	10.107	9.9371	9.9335	9.4846	8.7214	9.449	8.9512	9.2424	9.1091	9.3676	9.3978	9.2033	9.3763	9.0055	9.073	8.9006	9.1677	9.1076	8.4488	8.8407	8.7745	8.9051	8.9289	8.6704	8.9665	8.9051	8.7323	8.9256	8.5674	8.4423	8.9132	7.9056	8.4111	8.8119	8.6169	8.6852	8.4756	8.3162	8.3781	8.2984	8.5426	9.1476	8.73	9.1033	8.9457	8.7057	9.0325	8.8174	8.9602
K01564	8.6464	8.8278	8.6798	8.733	8.7096	8.6052	8.6878	8.6931	8.8637	8.6812	8.6756	8.7126	8.5145	8.434	8.4517	8.1433	8.4743	8.4408	8.691	8.1457	8.6547	8.2779	8.3556	8.2654	8.2411	8.2829	8.5253	8.427	8.5782	8.5825	8.6135	8.5632	8.6657	8.4978	8.4075	8.4137	8.4668	8.4419	8.254	8.5524	8.4412	8.5017	8.4591	8.5465	8.3669	8.4494	8.336	8.4622	8.582	8.6362	8.6015	8.6134	8.4513	8.7273	8.5313	8.6025	8.9484	8.6309	8.8232	8.6221	8.8002	8.7865	9.0356	8.7685	8.984	8.879	8.5454	8.8226	8.6444	8.8194	8.607	9.06	8.7604	8.6342	8.9382	8.7644	8.706	8.6508	8.7275	8.7493	8.7219	8.5686	8.74	8.595	8.8383	8.5846	8.6286	8.6077	8.868	8.6442	8.6425	8.4834	8.4928	8.7003	8.5356	8.5838	8.5931	8.5934	8.5172	8.6727	8.4462	8.4554	9.0222	9.0923	8.8129	8.9705	8.6715	8.89	9.0684	8.8085	9.2431	9.1835	9.2826	9.079	8.7055	9.1294	9.1234	8.9668	8.7976	8.5951	8.7506	9.5605	9.5827	9.5722	8.8589	8.9366	8.9654	8.9841	9.0585	8.8843	9.0949	9.063	8.9806
K01565	5.8546	6.0416	5.6116	5.59	5.4233	6.0688	5.8121	6.1704	6.4706	6.4379	6.1733	6.2435	5.4629	5.5175	5.9756	5.1181	5.6715	5.2072	5.755	4.9147	5.8185	5.1116	6.2702	6.3558	6.2732	6.3994	6.2803	6.1717	6.978	7.2094	6.8826	6.7476	6.9947	6.7897	6.4055	6.8806	6.9795	6.7777	6.263	6.8543	6.7945	6.8989	6.7164	7.0326	6.139	6.6296	6.2486	6.7616	6.5122	7.3853	5.8028	6.4896	6.1908	6.4008	6.2332	6.7256	6.1231	6.7196	6.2025	6.4597	6.4218	7.1911	7.3916	6.549	7.1821	7.0545	6.9759	7.2229	7.1189	7.183	7.336	7.0608	6.8493	6.624	6.6191	7.0393	6.7552	7.1173	7.0638	6.6621	6.949	6.9644	7.1169	6.6951	7.2832	6.9399	7.1231	6.4815	6.5961	6.6778	6.9057	6.717	6.5236	6.4576	6.3178	6.3906	6.5095	6.7124	6.3141	6.9545	6.7139	7.0521	7.8325	7.6692	7.8565	7.3663	7.464	7.5799	7.8333	7.697	7.807	7.7833	7.8303	7.9022	7.4049	8.2431	8.2982	7.29	7.3347	6.9057	7.2445	7.7079	7.975	7.7592	7.1971	7.8301	7.8031	7.6738	7.5388	8.3856	7.4918	7.0339	7.1912
K01568	4.8901	4.8164	4.7506	4.422	5.1985	4.6415	4.4549	5.0503	4.7163	4.4386	4.126	4.6716	5.856	5.7952	4.9618	5.6056	5.4674	5.7115	5.6359	4.4397	5.269	4.9859	5.3563	6.1566	5.9425	5.6646	5.3872	6.1717	5.2094	5.8015	5.413	5.6178	5.7438	5.2211	5.8653	6.2169	5.8876	5.2908	6.3478	5.8332	5.942	6.004	6.0067	5.9773	5.8416	5.6469	6.1601	5.7304	5.7559	5.2642	5.9682	6.1823	5.7315	6.0823	5.6864	5.2705	6.7566	6.2757	6.0704	6.0259	6.063	6.161	5.755	4.9365	6.2687	6.2433	5.3065	5.9466	5.2698	4.8065	5.7232	6.3327	6.3371	6.8498	6.5611	6.4932	6.3311	6.5096	5.7739	6.4384	6.6293	6.8537	6.7729	6.7307	7.0827	6.9864	6.166	7.3513	6.2119	7.0314	6.2527	6.649	6.1176	6.6144	6.8933	6.0582	6.493	5.9349	6.0948	6.4916	6.5447	6.3661	6.0866	6.0111	7.0311	5.8204	6.0162	6.6402	6.7991	6.8771	5.6321	5.6533	5.6841	6.8839	7.1595	6.0704	6.7549	7.3149	6.5319	6.5832	6.8024	5.6727	5.3643	5.5815	6.8612	7.0978	6.8285	7.3364	7.6011	6.3578	6.5675	7.1039	7.1647
K01569	7.0123	7.276	7.278	7.5172	7.8796	7.521	7.9629	7.6637	8.2477	7.917	6.8789	7.4889	7.9685	7.9142	6.2197	7.6114	7.8464	8.7478	7.9905	6.9164	7.8213	5.9389	6.0007	7.6478	6.4137	7.2956	6.6981	8.3129	7.5785	8.1081	7.8766	8.2012	8.0662	8.1528	8.5487	8.6398	8.336	7.9263	8.6367	7.7742	8.2751	8.3918	8.6136	8.2699	6.3078	8.0504	8.3157	8.1785	7.8244	8.0351	6.0881	7.5414	6.4886	7.1705	7.4979	7.3662	7.5728	7.1743	6.6037	7.1029	5.9451	7.6644	7.2507	6.3448	6.7789	7.8752	5.9868	5.7593	5.4677	6.3592	6.2717	7.5995	6.5138	7.4778	7.0362	4.8176	7.89	7.5241	7.6466	7.2535	7.5918	8.5242	8.7859	8.9056	8.6945	8.9078	6.9961	8.796	5.5627	8.824	7.0212	7.4341	5.5489	6.9924	8.4781	6.5846	8.016	6.3936	7.2879	7.3209	8.5944	8.3278	4.5113	5.9453	6.2875	5.2485	4.6832	5.8847	6.8714	5.9493	5.3121	5.9348	6.0722	6.32	7.9412	5.3704	5.3134	8.1901	7.9939	8.7638	8.3847	5.2387	4.2948	5.3701	7.9985	7.1614	6.0107	6.39	6.8319	5.7797	6.6881	6.7642	6.6709
K01571	10.275	10.303	10.241	10.22	10.125	10.075	9.5843	9.9735	9.6634	9.6909	9.5524	10.028	10.214	10.144	10.674	9.932	9.906	9.6552	10.208	9.6425	10.521	10.027	10.848	10.406	10.956	10.442	10.682	10.529	10.527	10.352	10.531	10.43	10.63	10.404	10.033	10.148	10.068	10.209	10.194	10.515	10.434	10.498	10.279	10.275	10.236	10.33	10.216	10.418	10.367	10.568	9.7368	9.8764	9.5469	9.7606	9.4247	9.5795	10.123	9.6051	10.168	9.7297	10.085	10.141	10.26	9.9709	10.345	10.069	10.222	10.45	10.241	10.481	10.053	10.228	10.644	10.586	10.455	10.686	9.8053	9.9459	9.9396	9.8758	9.916	10.105	9.8533	9.7008	9.8986	9.7878	9.979	9.8105	10.272	9.8799	10.033	10.035	9.9573	9.673	9.661	9.976	9.9967	9.7648	9.8588	10.175	10.161	10.324	10.664	10.684	10.071	10.288	10.476	10.271	10.057	10.404	10.476	10.551	10.594	9.8776	9.8063	10.58	10.488	9.8871	10.085	10.151	10.094	10.683	10.686	10.705	10.139	9.9737	9.9666	10.208	10.099	9.9792	9.6565	9.9604	10.136
K01572	9.8789	9.7259	9.8668	9.7304	9.7747	9.5399	9.3189	9.2386	8.8875	8.8272	9.1163	9.4542	9.9747	10.284	10.563	9.9452	9.9281	9.1374	10.111	9.7111	10.315	10.03	11.72	10.559	11.804	11.035	11.403	10.747	10.347	9.6626	10.459	9.7776	10.033	9.9351	10.205	9.6562	9.8166	10.371	9.8897	9.8193	9.9259	9.7078	9.9092	9.5571	10.686	9.603	10.25	9.7743	10.096	9.3728	9.0285	9.2048	9.2281	8.9168	9.2583	8.9168	9.6978	8.9003	9.8234	9.0903	9.6634	11.113	11.175	11.208	11.17	10.93	11.324	11.526	11.475	11.399	11.121	11.056	11.469	10.82	11.471	11.664	10.397	10.238	10.974	10.349	10.468	10.642	10.48	10.333	9.7407	10.416	10.205	10.726	11.172	10.521	11.039	10.713	10.72	10.38	10.391	10.726	10.658	10.566	10.606	10.887	10.463	10.696	11.792	11.664	10.99	11.066	11.314	11.257	11.187	11.308	11.434	11.313	11.362	11.149	10.908	11.88	11.59	10.696	11.074	11.258	10.787	11.508	11.442	11.551	10.777	11.07	10.843	10.974	10.871	11.123	10.54	10.672	10.736
K01574	9.0417	8.831	8.9137	9.0338	9.0447	8.7971	9.1662	8.7917	8.9955	8.8397	8.6131	8.7524	8.6573	8.4377	7.2115	8.6263	8.5276	9.3272	8.8636	8.4179	8.2116	8.2285	7.7033	8.2654	6.8067	8.3161	7.5611	8.4693	8.2268	8.6252	8.0343	8.3282	8.5831	8.114	8.8683	8.4311	8.1598	8.3939	8.7768	8.0655	8.4848	8.363	8.2672	8.4075	7.9435	8.3369	8.6952	8.7933	8.3278	8.4856	8.6844	8.7075	8.3112	8.7094	9.182	8.9716	8.7049	8.8313	8.6183	8.8261	8.4054	9.2223	8.7026	8.688	8.5708	8.9501	8.4688	8.3089	8.3874	7.9959	8.518	8.4483	8.083	8.3814	8.4317	7.759	8.9175	8.621	8.8721	8.6667	8.6775	9.2721	8.9558	8.8926	9.0064	9.0292	8.3458	9.1513	7.8648	8.8002	8.1922	8.4785	8.0191	8.173	8.7786	8.2419	8.5931	8.0028	7.8583	8.0877	9.0007	8.668	6.4102	6.7294	7.7235	7.1276	6.709	7.1426	7.0565	7.1075	6.2022	6.6082	6.4312	7.4663	8.6303	6.5386	6.7899	8.3911	8.1534	7.6914	8.5343	6.5862	6.4196	6.2612	8.2301	8.0478	8.0635	7.7327	7.503	7.9313	8.2079	8.309	8.6179
K01575	7.1104	7.304	7.1947	7.337	7.1326	7.2264	6.8414	7.2436	6.9038	7.2318	6.7828	6.9969	9.3768	8.7342	9.8764	8.1557	8.8161	8.1602	9.3291	7.9469	9.7181	8.6799	9.3824	8.2695	9.6688	9.0603	9.1057	8.7312	7.905	7.779	7.9816	7.5704	8.0339	7.5118	8.3597	7.6987	7.9751	7.7433	8.3391	7.8028	8.7929	7.9461	8.1478	8.2659	8.3999	7.7618	8.4659	8.3273	8.3317	7.7934	7.1267	8.6386	7.2129	8.181	7.73	7.7165	8.549	7.942	8.4909	8.1096	8.2153	8.048	8.3049	7.5489	8.3599	7.7722	7.6543	8.0544	7.6342	8.2274	7.7776	8.2529	9.9001	9.5731	8.6869	9.6044	8.033	7.9018	7.9202	8.3937	8.4007	8.6578	8.5443	8.403	8.6661	8.2742	7.9257	8.5297	9.029	8.6486	8.9406	8.0942	8.3859	8.4922	8.6839	8.7943	8.6463	8.53	8.7855	9.2982	9.3304	9.1245	8.7779	8.6326	8.2668	7.7696	8.4245	8.8374	8.5963	8.4195	7.9019	7.6345	7.9458	9.1955	8.8384	8.8129	8.8854	9.3351	8.6833	8.8899	8.6973	8.7828	8.508	8.2684	9.0042	8.6929	9.1387	8.8607	9.1493	8.9584	8.9066	8.9562	8.812
K01576	10.505	10.493	10.373	10.298	10.45	10.572	10.578	10.612	10.658	10.677	10.517	10.487	9.4418	9.6222	8.5998	9.6959	9.5378	10.469	9.832	9.7083	9.1816	9.4742	8.712	10.44	8.5943	9.9157	8.8247	10.383	10.527	11.013	10.416	10.957	11.022	10.914	10.58	10.832	10.863	10.494	10.825	10.912	10.864	11.168	10.834	11.14	10.027	10.895	10.592	10.986	10.799	11.182	10.538	10.557	10.346	10.605	10.258	10.478	10.435	10.339	10.503	10.512	10.459	9.4295	9.5314	9.1619	9.4745	9.6728	9.1557	8.9896	9.1117	9.1093	8.9847	9.5805	8.8881	10.107	9.074	8.4272	10.09	10.058	9.6802	9.9223	9.9707	10.457	10.257	10.063	10.782	10.253	10.402	9.9843	9.4913	9.9191	9.5422	9.6466	9.7785	9.8279	9.856	9.7173	9.9385	9.3984	9.6018	9.7836	10.702	10.481	8.5751	8.6737	9.3431	9.1284	9.03	9.3399	9.627	9.4772	9.2275	9.6012	9.4154	8.7209	9.9321	8.63	9.0484	10.389	9.9109	10.419	10.019	9.0656	8.8307	9.0691	10.028	9.5865	9.6203	9.8087	9.7488	8.4893	9.817	9.7348	9.7313
K01577	10.395	10.193	10.527	9.9797	10.446	10.012	10.419	10.352	10.193	10.265	10.461	10.029	8.9032	9.4443	7.5315	9.4101	8.8605	9.9765	9.3099	9.6425	8.4699	9.2763	7.535	10.2	7.334	9.0846	7.9916	9.6219	9.5324	10.287	9.6956	10.302	9.6946	10.158	10.157	10.311	10.552	9.1966	10.04	9.7868	9.8138	9.7224	10.028	9.7635	10.074	9.7147	10.092	9.586	9.6257	9.57	10.435	9.6293	10.435	9.9276	10.278	9.9219	9.752	9.9922	9.7784	9.9354	9.948	9.2244	8.5902	9.0517	8.6833	9.4574	9.1106	8.1168	8.7233	8.6021	8.9496	8.7452	7.9665	9.463	8.0859	7.0876	10.198	9.8125	9.6308	9.502	9.4524	10.251	9.5443	10.099	10.114	10.287	10.153	9.7361	8.9963	9.8221	9.2768	9.7104	9.4995	9.6152	9.6944	9.5666	9.9446	9.1443	9.3511	9.2158	9.3815	9.5497	7.5254	8.1702	9.0593	8.8181	8.8515	8.8581	8.8851	9.1773	8.5724	8.7978	8.7966	9.0353	8.9569	7.683	8.0611	9.1232	8.757	8.7329	8.8761	7.8242	7.9429	7.987	9.0811	9.3084	9.3969	9.3839	9.4661	9.3809	9.5316	9.1172	9.2845
K01578	9.8869	9.6643	9.6806	9.6326	9.8146	9.6041	9.9507	9.8384	9.9202	9.7652	9.7557	9.6249	8.8348	9.0464	7.9851	9.2201	8.9585	9.5642	9.0295	9.1564	8.4434	9.1249	8.2246	9.5326	7.8851	9.0129	8.5846	9.251	9.1682	9.7271	9.4136	9.8193	9.4416	9.7321	10.027	9.8333	10.087	9.4524	9.8174	9.481	9.5145	9.613	9.6299	9.5372	9.3794	9.4951	9.6863	9.5955	9.588	9.5192	9.8864	9.6726	9.896	9.9276	9.79	9.6016	9.5432	9.7087	9.5847	9.605	9.6466	9.5823	9.3899	9.7868	9.079	9.644	9.56	9.4699	9.2164	9.1924	9.6491	9.3231	8.2777	9.2066	9.2123	8.1824	9.9881	9.6404	9.7487	9.575	9.4956	10.152	9.8662	10.005	10.199	10.195	10.107	9.8639	9.6898	9.7411	9.7282	9.9012	9.8304	9.9518	10.031	9.8511	10.031	9.5479	9.6962	9.5239	9.5473	9.6975	9.5448	9.5574	9.5159	9.4884	9.5261	9.5138	9.421	9.503	9.5097	9.4312	9.5594	9.3672	9.5774	8.8669	9.155	9.9627	9.4272	9.5514	9.5801	9.4495	9.356	9.4816	9.5734	9.689	9.7711	9.6649	9.5439	9.7286	9.8548	9.7675	9.8327
K01579	9.9075	9.9131	9.9642	10.057	9.7997	9.9225	9.6646	9.6543	9.5448	9.6089	9.7665	9.8679	10.456	10.218	10.943	10.136	10.377	9.8229	10.126	10.212	10.521	10.22	10.401	10.139	10.478	10.309	10.241	10.276	9.849	9.9691	9.8827	9.7798	9.8253	9.682	9.8042	9.8878	9.8017	10.179	9.9246	9.941	10.095	9.943	9.9031	9.8139	10.166	9.8743	10.048	9.8157	9.9407	9.7921	9.8926	9.9768	9.9148	9.8611	9.7125	9.704	10.16	9.7067	10.166	9.8899	10.139	10.135	10.084	10.137	10.064	9.8852	10.321	10.248	10.331	10.258	10.297	10.107	10.653	10.33	10.112	10.604	10.018	9.9792	10.009	10.158	9.9768	9.9335	9.836	9.6737	9.6727	9.7646	9.8911	9.8367	10.566	9.8571	10.434	10.161	10.474	10.138	10.109	10.353	10.241	10.456	10.207	10.452	10.14	10.254	10.119	10.067	9.9743	10.114	10.142	10.199	10.003	10.164	10.063	10.037	10.046	10.236	10.191	10.146	10.204	10.302	10.299	10.512	10.292	9.9412	10.051	10.03	10.46	9.9913	10.159	10.158	10.048	10.207	10.186	10.221	10.22
