EWsiteHyd_index	Sample	MG_name	Latitude	Longitude	Date.x	SPID	taxon_oid	GOLD_Analysis_Project_ID	GOLD_Sequencing_Project_ID	Index	Site	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	Date.y	Salinity.x	Core_Weight_oz	Temp	Conductivity	CO2_uM_m2_s	CH4_uM_m2_s	CO2_mg_m2_h	CH4_ug_m2_h	CH4_ppm_s	CO2_ppm_s	D1_Read_count	iTag_name.x	latitude	longitude	Part_DM	pH	Cl	SO4	OM_LOI	Corg_LOI	N	C	NO3_N	NH4_N	Olsen_P	P	Zn	Mn	Fe	Cu	EW.no	iTag_name.y	SampNO	PW_LABEL	Salinity.y	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Br_pw	F_pw	Na_pw	Mg_pw	Ca_pw	K_pw	Sr_pw	Fe_pw	Mn_pw	Al_pw	Si_pw	Co_pw	Cu_pw	Zn_pw
10	Sandmound_ThreeSqB_D1	Sandmound_ThreeSqB_D1	37.770749	-122.378031	9/5/13	1048085	3300004058	Ga0055498	Gp0101383	6	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	9/5/17	0.584762462	11.8	22.2	1111	16.16384373	0.002948362	2.644391613	0.661727234	7.24E-05	0.396736667	154948	s006_Sandmound_ThreeSqB_D1	38.000637	-121.624207	22.2	6.25	16.2	82.1	26.68	15.47	1.069	15.41	0.36	42.9	12.7	0.096	NA	NA	NA	NA	6	s006_Sandmound_ThreeSqB_D1	s006	W12	0.58	218.6595	2.356	11.7	0.9705	NA	4.598	NA	1.289	0.407	103955.03	21267.82	48449.61	NA	211.07	2565.08	576.19	22.06	10336.97	0.6	1.42	NA
11	Sandmound_ThreeSqB_D2	Sandmound_ThreeSqB_D2	37.550705	-122.214362	9/5/13	1048094	3300005206	Ga0068995	Gp0101386	89	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	9/5/17	0.584762462	11.8	22.2	1111	16.16384373	0.002948362	2.644391613	0.661727234	7.24E-05	0.396736667	154948	s089_Sandmound_ThreeSqB_D2	38.000637	-121.624207	23	5.94	18.52	58.8	28.18	16.35	1.021	16.23	0.68	29.48	8.6	0.095	88	581	25290	68	89	s089_Sandmound_ThreeSqB_D2	s089	W12	0.58	218.6595	2.356	11.7	0.9705	NA	4.598	NA	1.289	0.407	103955.03	21267.82	48449.61	NA	211.07	2565.08	576.19	22.06	10336.97	0.6	1.42	NA
12	Sandmound_ThreeSqC_D1	Sandmound_ThreeSqC_D1	37.770749	-122.378031	9/5/13	1048088	3300004047	Ga0055499	Gp0101384	7	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	9/5/17	0.631436206	11.2	22.2	1196	30.73797003	-0.001520827	5.028706753	-0.341332784	-3.73E-05	0.754454198	180819	s007_Sandmound_ThreeSqC_D1	38.000637	-121.624207	21.5	6.44	13.76	56.3	28.44	16.49	1.079	16.62	0.33	49.32	16.3	0.092	NA	NA	NA	NA	7	s007_Sandmound_ThreeSqC_D1	s007	W13	0.63	418.5935	15.828	11.45	NA	0.0845	NA	NA	1.795	0.417	181577.27	33854.91	56285.76	NA	331.13	271.27	385.36	18.27	10055.29	1.23	3.45	NA
13	Sandmound_ThreeSqC_D2	Sandmound_ThreeSqC_D2	37.550705	-122.214362	9/5/13	1048097	3300005218	Ga0068996	Gp0101387	90	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	9/5/17	0.631436206	11.2	22.2	1196	30.73797003	-0.001520827	5.028706753	-0.341332784	-3.73E-05	0.754454198	180819	s090_Sandmound_ThreeSqC_D2	38.000706	-121.624306	24.6	6.11	13.12	54.8	29.23	16.96	1.02	15.95	0.68	47.43	12.4	0.098	86	1164	25180	64	90	s090_Sandmound_ThreeSqC_D2	s090	W13	0.63	418.5935	15.828	11.45	NA	0.0845	NA	NA	1.795	0.417	181577.27	33854.91	56285.76	NA	331.13	271.27	385.36	18.27	10055.29	1.23	3.45	NA
14	WestPond_TuleA_D1	WestPond_TuleA_D1	38.1073	-121.6485	10/14/13	1072589	3300014303	Ga0075358	Gp0116124	8	WestPond	WestPond	Tule	SF_Rest	FW	West	d1	10/15/17	0.358055401	8.2	14	575	148.874059	1.257483677	24.35567428	282.2282567	0.030864557	3.654068852	138427	s008_WestPond_TuleA_D1	38.107059	-121.647591	7.5	6.3	3.25	32.2	85.39	49.53	1.693	43.4	2.72	225.21	14.5	0.09	NA	NA	NA	NA	8	s008_WestPond_TuleA_D1	s008	W83	0.36	160.541	7.9715	10.65	0.982	0.594	NA	NA	1.0485	0.427	67222.29	20835.52	45960.11	1141.02	206.84	80.48	0.9	26.53	10654.28	0.15	0.89	NA
15	WestPond_TuleA_D2	WestPond_TuleA_D2	37.550705	-122.214362	10/14/13	1048127	3300004072	Ga0055512	Gp0101397	91	WestPond	WestPond	Tule	SF_Rest	FW	West	d2	10/15/17	0.358055401	8.2	14	575	148.874059	1.257483677	24.35567428	282.2282567	0.030864557	3.654068852	138427	s091_WestPond_TuleA_D2	38.107059	-121.647591	9.8	5.78	9.41	42.6	65.73	38.12	1.533	34.88	2.14	67.11	8.5	0.119	48	136	13180	40	91	s091_WestPond_TuleA_D2	s091	W83	0.36	160.541	7.9715	10.65	0.982	0.594	NA	NA	1.0485	0.427	67222.29	20835.52	45960.11	1141.02	206.84	80.48	0.9	26.53	10654.28	0.15	0.89	NA
16	WestPond_TuleB_D1	WestPond_TuleB_D1	38.1073	-121.6485	10/14/13	1072590	3300014266	Ga0075359	Gp0116125	9	WestPond	WestPond	Tule	SF_Rest	FW	West	d1	10/15/17	0.380244176	7.8	13.7	605	59.76685661	0.141310035	9.77780885	31.71546917	0.003468412	1.466959459	136744	s009_WestPond_TuleB_D1	38.107059	-121.647591	8.8	6.3	5.36	46.6	73.64	42.71	2.059	38.44	4.97	115.64	6.9	0.113	NA	NA	NA	NA	9	s009_WestPond_TuleB_D1	s009	W84	0.38	115.5075	12.154	10.24	1.12	0.079	0.984	NA	0.942	0.4505	57146	15183.38	37792.07	5081.79	141.74	49.43	50.3	22.9	12007.63	0.21	0.5	NA
17	WestPond_TuleB_D2	WestPond_TuleB_D2	37.550705	-122.214362	10/14/13	1048130	3300004078	Ga0055513	Gp0101398	92	WestPond	WestPond	Tule	SF_Rest	FW	West	d2	10/15/17	0.380244176	7.8	13.7	605	59.76685661	0.141310035	9.77780885	31.71546917	0.003468412	1.466959459	136744	s092_WestPond_TuleB_D2	38.107059	-121.647591	11.5	5.8	7.56	63.3	60.06	34.84	1.592	32.85	2.9	75.99	5.7	0.107	46	139	15880	38	92	s092_WestPond_TuleB_D2	s092	W84	0.38	115.5075	12.154	10.24	1.12	0.079	0.984	NA	0.942	0.4505	57146	15183.38	37792.07	5081.79	141.74	49.43	50.3	22.9	12007.63	0.21	0.5	NA
18	WestPond_TuleC_D1	WestPond_TuleC_D1	38.1073	-121.6485	10/14/13	1072591	3300014261	Ga0075360	Gp0116126	10	WestPond	WestPond	Tule	SF_Rest	FW	West	d1	10/15/17	0.374460255	9.4	13.9	599	28.30481404	0.004572012	4.630644423	1.026137308	0.000112219	0.694733119	159529	s010_WestPond_TuleC_D1	38.107059	-121.647591	8.6	6.34	5.55	42.9	78.16	45.33	2.159	40.59	1.94	130.39	9.8	0.12	NA	NA	NA	NA	10	s010_WestPond_TuleC_D1	s010	W85	0.37	187.8235	28.0435	15.72	0.9945	4.4145	NA	0.844	1.0555	0.4675	87546.9	20383.92	40939.41	4173.92	173.97	47.02	0.66	35.34	10294.88	0.37	20.36	15.68
19	WestPond_TuleC_D2	WestPond_TuleC_D2	37.550705	-122.214362	10/14/13	1048133	3300004079	Ga0055514	Gp0101399	93	WestPond	WestPond	Tule	SF_Rest	FW	West	d2	10/15/17	0.374460255	9.4	13.9	599	28.30481404	0.004572012	4.630644423	1.026137308	0.000112219	0.694733119	159529	s093_WestPond_TuleC_D2	38.107059	-121.647591	7.5	5.97	9.37	59.3	77.36	44.87	1.719	40.03	2.88	101.27	9.4	0.112	38	85	9930	33	93	s093_WestPond_TuleC_D2	s093	W85	0.37	187.8235	28.0435	15.72	0.9945	4.4145	NA	0.844	1.0555	0.4675	87546.9	20383.92	40939.41	4173.92	173.97	47.02	0.66	35.34	10294.88	0.37	20.36	15.68
20	WestPond_CattailA_D1	WestPond_CattailA_D1	38.1073	-121.6485	10/14/13	1072586	3300014322	Ga0075355	Gp0116121	11	WestPond	WestPond	Cattail	SF_Rest	FW	West	d1	10/15/17	0.417574716	9	14.8	680	90.51809777	0.601606192	14.80868675	135.0238335	0.014766242	2.221739394	147512	s011_WestPond_CattailA_D1	38.107075	-121.647614	8.5	6.39	6.85	55.3	71.54	41.49	2.048	37.63	1.97	126.86	18.2	0.173	NA	NA	NA	NA	11	s011_WestPond_CattailA_D1	s011	W80	0.42	3448.372	346.17	32.15	0.366	NA	0.028	NA	10.79	0.25	1855692.54	225966.52	85518.77	49657.4	1817.5	70.28	104.2	23.79	13676.11	1.9	32.81	29.95
21	WestPond_CattailA_D2	WestPond_CattailA_D2	37.550705	-122.214362	10/14/13	1048118	3300005208	Ga0069003	Gp0101394	94	WestPond	WestPond	Cattail	SF_Rest	FW	West	d2	10/15/17	0.417574716	9	14.8	680	90.51809777	0.601606192	14.80868675	135.0238335	0.014766242	2.221739394	147512	s094_WestPond_CattailA_D2	38.107075	-121.647614	10.7	5.78	10.09	57.9	60.14	34.88	1.58	33.22	2.07	158.34	6.8	0.1	67	139	17180	47	94	s094_WestPond_CattailA_D2	s094	W80	0.42	3448.372	346.17	32.15	0.366	NA	0.028	NA	10.79	0.25	1855692.54	225966.52	85518.77	49657.4	1817.5	70.28	104.2	23.79	13676.11	1.9	32.81	29.95
22	WestPond_CattailB_D1	WestPond_CattailB_D1	38.1073	-121.6485	10/14/13	1072587	3300014323	Ga0075356	Gp0116122	12	WestPond	WestPond	Cattail	SF_Rest	FW	West	d1	10/15/17	0.423137002	8.6	13.9	674	110.4175557	0.1191333	18.0642218	26.73814724	0.002924091	2.710165584	159642	s012_WestPond_CattailB_D1	38.107075	-121.647614	7.8	6.33	6.9	57.6	75.56	43.82	2.002	40.89	2.71	235.67	10.1	0.117	NA	NA	NA	NA	12	s012_WestPond_CattailB_D1	s012	W81	0.42	242.1595	24.5155	9.884	0.958	NA	NA	NA	1.2905	0.4325	106264.99	26250.82	51091.96	1909.2	259.96	51.92	27.53	23.29	11719.34	0.17	2.69	68.56
23	WestPond_CattailB_D2	WestPond_CattailB_D2	37.550705	-122.214362	10/14/13	1048121	3300005219	Ga0069004	Gp0101395	95	WestPond	WestPond	Cattail	SF_Rest	FW	West	d2	10/15/17	0.423137002	8.6	13.9	674	110.4175557	0.1191333	18.0642218	26.73814724	0.002924091	2.710165584	159642	s095_WestPond_CattailB_D2	38.107075	-121.647614	7.1	5.93	10.23	59.3	75.39	43.73	1.731	39.36	NA	79.34	4.4	0.108	42	99	13270	54	95	s095_WestPond_CattailB_D2	s095	W81	0.42	242.1595	24.5155	9.884	0.958	NA	NA	NA	1.2905	0.4325	106264.99	26250.82	51091.96	1909.2	259.96	51.92	27.53	23.29	11719.34	0.17	2.69	68.56
24	WestPond_CattailC_D1	NA	NA	NA	NA	NA	NA	NA	NA	13	WestPond	WestPond	Cattail	SF_Rest	FW	West	d1	10/15/17	0.36659283	9.8	13.7	584	108.8698978	0.457385698	17.81102623	102.6551443	0.011226394	2.672178788	142496	s013_WestPond_CattailC_D1	38.107075	-121.647614	7.7	6.34	6.85	58.1	73.4	42.57	2.044	40.25	2.86	163.21	14.2	0.119	NA	NA	NA	NA	13	s013_WestPond_CattailC_D1	s013	W82	0.37	199.869	10.39	10.44	0.9945	0.161	NA	NA	1.1535	0.428	85814.93	25103.66	56222.15	17074.79	255.36	53.7	0.74	23.04	11331.48	0.16	2.16	0.95
25	WestPond_CattailC_D2	WestPond_CattailC_D2	37.770749	-122.214362	10/14/13	1048124	3300005217	Ga0069005	Gp0101396	96	WestPond	WestPond	Cattail	SF_Rest	FW	West	d2	10/15/17	0.36659283	9.8	13.7	584	108.8698978	0.457385698	17.81102623	102.6551443	0.011226394	2.672178788	142496	s096_WestPond_CattailC_D2	38.107075	-121.647614	13.2	5.62	12.98	62.8	50.49	29.28	1.421	28.94	0.73	98.05	11.6	0.095	60	158	17860	50	96	s096_WestPond_CattailC_D2	s096	W82	0.37	199.869	10.39	10.44	0.9945	0.161	NA	NA	1.1535	0.428	85814.93	25103.66	56222.15	17074.79	255.36	53.7	0.74	23.04	11331.48	0.16	2.16	0.95
26	MayberryNE_TuleA_D1	MayberryNE_TuleA_D1	38.0524	-121.7687	8/30/13	1072546	3300014258	Ga0075315	Gp0116081	14	MayberryNE	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	8/30/17	3.325753237	10	22	5751	20.53030384	0.145389415	3.358740915	32.63104086	0.003568539	0.503910112	154672	s014_MayberryNE_TuleA_D1	38.052509	-121.76873	7	6.64	46.55	462.3	57.51	33.36	1.877	33.36	7.45	191.78	2.4	0.112	NA	NA	NA	NA	14	s014_MayberryNE_TuleA_D1	s014	W1	3.33	1276.85	15.034	78.92	1.166	NA	0.918333333	2.98	5.332	0.69	759634.08	106436.13	107005.82	22336.15	1075.49	342.81	216.4	55.07	3274.7	1.17	20.8	1.24
27	MayberryNE_TuleA_D2	MayberryNE_TuleA_D2	38.0524	-121.7687	8/30/13	1072547	3300014314	Ga0075316	Gp0116082	97	MayberryNE	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	8/30/17	3.325753237	10	22	5751	20.53030384	0.145389415	3.358740915	32.63104086	0.003568539	0.503910112	154672	s097_MayberryNE_TuleA_D2	38.052509	-121.76873	9.1	6.89	120.7	1049.9	65.16	37.79	1.892	32.22	2.31	114.8	2.6	0.112	37	207	36000	22	97	s097_MayberryNE_TuleA_D2	s097	W1	3.33	1276.85	15.034	78.92	1.166	NA	0.918333333	2.98	5.332	0.69	759634.08	106436.13	107005.82	22336.15	1075.49	342.81	216.4	55.07	3274.7	1.17	20.8	1.24
28	MayberryNE_TuleB_D1	MayberryNE_TuleB_D1	38.0524	-121.7687	8/30/13	1072548	3300014309	Ga0075317	Gp0116083	15	MayberryNE	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	8/30/17	3.436740106	9.8	21.9	5918	12.56376263	0.192548287	2.055421289	43.21532629	0.00472604	0.308373762	168217	s015_MayberryNE_TuleB_D1	38.052509	-121.76873	10.4	6.61	60.82	646.2	56.95	33.03	2.284	34.02	5.69	149.55	2.8	0.107	NA	NA	NA	NA	15	s015_MayberryNE_TuleB_D1	s015	W2	3.44	1992.234	26.068	109.2	2.158	NA	0.193666667	2.026	8.246	0.8	996395.73	165305.97	143863.58	34178.03	1660.67	151.26	1.09	52.9	5318.4	0.8	21.68	4.43
29	MayberryNE_TuleB_D2	MayberryNE_TuleB_D2	38.0524	-121.7687	8/30/13	1072549	3300014256	Ga0075318	Gp0116084	98	MayberryNE	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	8/30/17	3.436740106	9.8	21.9	5918	12.56376263	0.192548287	2.055421289	43.21532629	0.00472604	0.308373762	168217	s098_MayberryNE_TuleB_D2	38.052509	-121.76873	10.7	6.96	101.56	835.8	62.6	36.31	2.059	32.92	1.45	243.07	9.5	0.132	33	244	25660	21	98	s098_MayberryNE_TuleB_D2	s098	W2	3.44	1992.234	26.068	109.2	2.158	NA	0.193666667	2.026	8.246	0.8	996395.73	165305.97	143863.58	34178.03	1660.67	151.26	1.09	52.9	5318.4	0.8	21.68	4.43
30	MayberryNE_TuleC_D1	MayberryNE_TuleC_D1	38.0524	-121.7687	8/30/13	1072550	3300014257	Ga0075319	Gp0116085	16	MayberryNE	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	8/30/17	3.431605924	10	22.3	5960	24.41456382	0.996253201	3.99420267	223.5979753	0.024452734	0.599248101	142672	s016_MayberryNE_TuleC_D1	38.052509	-121.76873	11	6.83	57.2	510.3	53.76	31.18	1.884	30.34	5.87	165.2	2.4	0.107	NA	NA	NA	NA	16	s016_MayberryNE_TuleC_D1	s016	W3	3.43	2169.22	48.862	115	0.226	NA	0.752666667	1.24	8.982	0.834	1083096.2	172987.87	110855.9	31768.44	1401.02	91.02	0.65	26.32	7443.59	1.94	23.8	2.27
31	MayberryNE_TuleC_D2	MayberryNE_TuleC_D2	38.0524	-121.7687	8/30/13	1072551	3300014255	Ga0075320	Gp0116086	99	MayberryNE	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	8/30/17	3.431605924	10	22.3	5960	24.41456382	0.996253201	3.99420267	223.5979753	0.024452734	0.599248101	142672	s099_MayberryNE_TuleC_D2	38.052509	-121.76873	11.3	7.14	95.24	708.3	57.29	33.23	1.748	31.08	2.5	197.42	2.8	0.118	36	277	35320	21	99	s099_MayberryNE_TuleC_D2	s099	W3	3.43	2169.22	48.862	115	0.226	NA	0.752666667	1.24	8.982	0.834	1083096.2	172987.87	110855.9	31768.44	1401.02	91.02	0.65	26.32	7443.59	1.94	23.8	2.27
32	MayberryNE_CattailA_D1	MayberryNE_CattailA_D1	38.0524	-121.7687	8/31/13	1072540	3300014268	Ga0075309	Gp0116075	17	MayberryNE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	8/31/17	3.1	14.2	22.1	5430	12.23676997	0.118422812	2.001925557	26.5786859	0.002906652	0.300347826	183443	s017_MayberryNE_CattailA_D1	38.052479	-121.7687	48.7	7.35	61.54	208.1	17.82	10.34	0.888	13.91	0.13	9.84	13.9	0.073	NA	NA	NA	NA	17	s017_MayberryNE_CattailA_D1	s017	W4	3.12	1003.358	15.41	88.69	0.998	NA	2.4	1.666	4.148	0.812	514338.59	92674.94	125406.03	14340.51	1136.76	712.9	136.56	27.99	10297.04	0.78	14.99	0.27
33	MayberryNE_CattailA_D2	MayberryNE_CattailA_D2	38.0524	-121.7687	8/31/13	1072541	3300014302	Ga0075310	Gp0116076	100	MayberryNE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	8/31/17	3.1	14.2	22.1	5430	12.23676997	0.118422812	2.001925557	26.5786859	0.002906652	0.300347826	183443	s100_MayberryNE_CattailA_D2	38.052479	-121.7687	52.9	7.27	57.33	54.7	22.33	12.95	0.928	13.98	0.19	9.92	13.1	0.08	59	565	29540	41	100	s100_MayberryNE_CattailA_D2	s100	W4	3.12	1003.358	15.41	88.69	0.998	NA	2.4	1.666	4.148	0.812	514338.59	92674.94	125406.03	14340.51	1136.76	712.9	136.56	27.99	10297.04	0.78	14.99	0.27
34	MayberryNE_CattailB_D1	MayberryNE_CattailB_D1	38.0524	-121.7687	8/31/13	1072542	3300014259	Ga0075311	Gp0116077	18	MayberryNE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	8/31/17	3.3	13.6	22.5	5807	10.4721964	0.075898881	1.713242764	17.03466156	0.001862915	0.2570369	147548	s018_MayberryNE_CattailB_D1	38.052479	-121.7687	45.9	7.21	63.16	202.2	20.48	11.88	0.987	14.53	0.56	14.3	4.7	0.07	NA	NA	NA	NA	18	s018_MayberryNE_CattailB_D1	s018	W5	3.32	966.432	22.95	72.63	1.62	NA	1.712333333	1.334	4.162	0.7	490642.11	85864.31	124111.32	13106.42	1102.4	107.3	12.35	18.24	9100.31	0.85	12.38	NA
